STATE,PLANT_NAME,LAT,LON,COAL_GEN,OIL_GEN,GAS_GEN,NUCLEAR_GEN,HYDRO_GEN,BIOMASS_GEN,WIND_GEN,SOLAR_GEN,GEOTHERMAL_GEN,OTHER_GEN,NET_GEN,NET_NONRENEWABLE_GEN,NET_RENEWABLE_GEN,PERCENT_COAL_GEN,PERCENT_OIL_GEN,PERCENT_GAS_GEN,PERCENT_NUCLEAR_GEN,PERCENT_HYDRO_GEN,PERCENT_BIOMASS_GEN,PERCENT_WIND_GEN,PERCENT_SOLAR_GEN,PERCENT_GEOTHERMAL_GEN,PERCENT_OTHER_GEN,PERCENT_NONRENEWABLE_GEN,PERCENT_RENEWABLE_GEN
AK,AGRIUM KENAI NITROGEN OPERATIONS,60.0656,151.6719,0.0,0.0,114490.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114490.6,114490.6,0.0,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
AK,ALAKANUK,60.2992,159.7343,0.0,1474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1474.0,1474.0,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
AK,ALLAKAKET,64.8557,146.2789,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,570.0,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
AK,ALYESKA SEAFOODS INC,51.9961,175.5654,0.0,10717.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10717.4,10717.4,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
AK,AMBLER,N/A,N/A,0.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.0,1130.0,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
AK,AMERICAN PRESIDENT LINES LTD,51.9961,175.5654,0.0,6154.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6154.5,6154.5,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
AK,ANCHORAGE 1,61.1095,149.4381,0.0,82.0,10345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10427.0,10427.0,0.0,0.0000,0.7864,99.2136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
AK,ANIAK,60.2992,159.7343,0.0,2543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2543.0,2543.0,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
AK,ANNA PLATFORM,60.0656,151.6719,0.0,0.0,8387.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8387.2,8387.2,0.0,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
AK,ANNEX CREEK,58.3849,134.1888,0.0,0.0,0.0,0.0,24722.0,0.0,0.0,0.0,0.0,0.0,24722.0,0.0,24722.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
